Trait ExternalTrait jf_p p_cor p_cor_se nonp_cor nonp_cor_se
SCZ Risk_beh_composite 8.402304701828359e-05 0.1588 0.0222 0.0316 0.0279
SCZ Smoking_cessation 0.001336879596655002 0.1309 0.0241 0.0126 0.0351
SCZ Speeding_propensity 0.4017586224280817 -0.2104 0.0234 -0.1615 0.0325
SCZ Tiredness 9.406752988911313e-07 0.2711 0.0377 -0.0058 0.0492
SCZ Waist_to_hip_ratio 1.4423160880635093e-05 -0.0351 0.0178 -0.1377 0.0252
SCZ backpain 4.3934177562843535e-08 0.0479 0.0271 -0.1559 0.0301
SCZ birth_weight 0.43682810388141724 -0.0374 0.0284 -0.0085 0.0397
SCZ chronotype 0.6956659451527516 -0.0964 0.0201 -0.0834 0.0292
SCZ cigday 0.04930324478460506 0.1057 0.0261 0.0002 0.0392
SCZ drinkweek 0.037034867982083386 0.0924 0.0218 0.0361 0.0248
SCZ environmentalstress 7.403412463055866e-08 0.1955 0.025 -0.0179 0.0333
SCZ ever_smoker 5.896098673236498e-10 0.1696 0.0194 -0.01 0.023
SCZ executivefunctioning 0.07617377245797885 -0.3449 0.0192 -0.2829 0.0267
SCZ externalizing 3.2107403067522043e-09 0.2233 0.022 0.0304 0.0255
SCZ household_income 0.007843983439297066 -0.1905 0.0244 -0.0779 0.0341
SCZ insomnia 4.273445795320478e-05 0.0456 0.025 -0.1236 0.0325
SCZ intelligence2 0.10405778190316418 -0.2208 0.0206 -0.1722 0.0283
SCZ internalizing 0.0008392378127650709 0.2178 0.0654 -0.0869 0.0844
SCZ lonelines 5.771105393715539e-09 0.1911 0.0248 -0.0371 0.0346
SCZ longevity 0.03920978797359262 -0.0953 0.0299 0.001 0.0405
SCZ neighbourhood_deprivation 0.0016544677915831748 0.228 0.0407 0.0333 0.0487
SCZ neurodegenerative 0.8441288935354816 0.0826 0.033 0.1101 0.0487
SCZ no_sexual_partners 7.512860194561742e-05 0.2612 0.0226 0.113 0.0289
SCZ noncog 0.13010132729837592 -0.2388 0.0199 -0.2099 0.0282
SCZ risk_tolerance 0.00981225017667618 0.2156 0.0227 0.1145 0.0318
SCZ selfrated_health 2.0565382196200113e-08 0.203 0.0278 -0.0408 0.0408
SCZ sleepduration 0.026174854523288864 0.1654 0.0213 0.2369 0.0297
SCZ subjective_wellbeing 1.253722487118673e-06 -0.316 0.0364 -0.0522 0.0434
TS Age_at_smoking_initiation 0.3110869538747937 -0.0878 0.0501 -0.005 0.06
